Epoch,Best Candidate,Mean Fitness,
817,657,582.562,
818,657,576.848,
819,657,575.132,
820,657,577.89,
821,657,586.916,
822,657,579.792,
823,657,584.038,
824,657,584.052,
825,657,581.448,
826,657,581.268,
827,657,577.706,
828,657,584.322,
829,657,584.228,
830,657,583.078,
831,657,586.512,
832,657,591.27,
833,657,590.692,
834,657,589.98,
835,657,579.206,
836,657,586.822,
837,657,578.244,
838,657,574.446,
839,657,583.534,
840,657,583.434,
841,657,578.346,
842,659,580.98,
843,659,584.584,
844,659,590.138,
845,659,586.08,
846,659,588.346,
847,659,588.846,
848,659,584.112,
849,659,583.882,
850,659,584.838,
851,659,590.992,
852,659,589.05,
853,659,589.724,
854,659,584.224,
855,659,583.086,
856,659,584.454,
857,659,579.576,
858,659,581.698,
859,659,587.192,
860,659,594.39,
861,659,585.676,
862,659,590.282,
863,659,591.31,
864,659,588.074,
865,659,580.378,
866,659,589.978,
867,659,586.092,
868,659,584.572,
869,659,584.386,
870,659,584.862,
871,659,583.984,
872,659,579.044,
873,659,585.492,
874,659,581.398,
875,659,580.146,
876,659,571.648,
877,659,575.794,
878,659,576.258,
879,659,583.592,
880,659,579.676,
881,659,577.508,
882,659,576.356,
883,659,578.398,
884,659,580.422,
885,659,575.242,
886,659,581.51,
887,659,585.446,
888,659,585.026,
889,659,584.262,
890,659,584.848,
891,659,588.758,
892,659,585.014,
893,659,581.444,
894,659,575.794,
895,659,575.038,
896,661,581.628,
897,661,579.734,
898,661,581.566,
899,661,580.424,
900,661,587.342,
901,661,580.874,
902,661,587.366,
903,661,583.522,
904,661,584.79,
905,661,578.162,
906,661,583.5,
907,661,582.442,
908,661,580.504,
909,661,586.216,
910,661,587.38,
911,661,586.102,
912,661,584.054,
913,661,575.788,
914,661,577.124,
915,661,577.786,
916,661,578.368,
917,661,583.108,
918,661,583.614,
919,661,584.576,
920,661,588.87,
921,661,586.622,
922,661,583.646,
923,661,586.412,
924,661,587.752,
925,661,589.152,
926,661,592.242,
927,661,595.758,
928,661,597.07,
929,661,595.314,
930,661,586.348,
931,661,574.544,
932,661,579.78,
933,661,583.708,
934,661,578.646,
935,661,580.458,
936,661,583.736,
937,661,583.868,
938,661,587.734,
939,661,589.754,
940,661,592.9,
941,661,583.526,
942,661,584.82,
943,661,585.028,
944,661,583.642,
945,661,583.006,
946,661,586.37,
947,661,586.476,
948,661,583.838,
949,661,583.898,
950,661,584.548,
951,661,584.254,
952,661,578.354,
